repository,wrong,correct,commit,file,line
0ad/0ad,g_EncrytedPassword,g_EncryptedPassword,729acf8c31a485967b0f90be64218da2e01c612a,binaries/data/mods/public/gui/lobby/prelobby.js,189
0lu1/AndroidManager,Runables,Runnables,70a8f09eb8ca3d40a51b020722a37f43fb642619,src/GUI/MainFrame.java,6
10clouds/cottoncandy-react,Toogle,Toggle,52a4126aea3a91a5e2f0e4739c624cdc98ac68fc,src/lib/Toggle.js,136
18F/omb-eregs,sect2,sec2,cad9a1d7244f89b4a5eb999025e2fa7d32f3508e,api/document/tests/serializers/doc_cursor_test.py,23
18F/omb-eregs,sect1,sec1,cad9a1d7244f89b4a5eb999025e2fa7d32f3508e,api/document/tests/views_test.py,36
2gis/slot,Erorr,Error,93fa323338413ad7739f2623456a3a994a412dcb,lib/namer.js,80
2Ring/Chart.js,glHashByOrientantion,glHashByOrientation,3523f9bd61b0968c2f2a228b1233c8fac7bc6bcb,src/plugins/plugin.gridlines.js,116
4ian/GD,GetOrigine,GetOrigin,1c921efa4e881bbd1b3645fdcdb14a33fdb462e3,Core/GDCore/BuiltinExtensions/SpriteExtension/Direction.cpp,113
4ian/GD,GetCentre,GetCenter,1c921efa4e881bbd1b3645fdcdb14a33fdb462e3,Core/GDCore/BuiltinExtensions/SpriteExtension/Direction.cpp,114
4teamwork/ftw.mail,UnkownSender,UnknownSender,4068cd1bf41f4da5b92229f2ad920b4c5a5e2a33,ftw/mail/inbound.py,94
4teamwork/opengever.core,resolve_sumitted_proposal,resolve_submitted_proposal,31fe64c2d2d4cba8de3c51ff433879e5c8e80ffe,opengever/meeting/model/proposal.py,317
51Degrees/Device-Detection,EnterpriseExamples_Reload_From_Memoyr_Trie,EnterpriseExamples_Reload_From_Memory_Trie,8b8222ee2d8c3f74bb37bb34a308483ea434c087,VisualStudio/CS Examples/Examples Tests/ReloadFromMemoryTrie.cs,29
53ningen/mastodon-api-cs,avater,avatar,242a4a71afbc2d90cb567a8b178249ebb47ddb32,Mastodon.API/Entities/Account.cs,42
7k8m/DirectSQL,_allowInitlialize,_allowInitialize,e119e4bca070d70a4b3f6ef1639b20139452152a,DirectSQL/SqlResult.cs,175
aatibudhi/directory-project,getEnodedValue,getEncodedValue,dcad6cc176e7f9dfa131e64e4d272f3c61541636,common/ldap/src/main/java/org/apache/ldap/common/codec/Control.java,114
abbas123456/fuga,available_seperately,available_separately,c35444c85904f2a29f1e021cdf5df2fa903a3a90,sites/mobile_products/models.py,159
acardona/CATMAID,requestDicitionary,requestDictionary,4a26053277a0870e7147cc094fd2ab53c63ecd33,httpdocs/widgets/overlay.js,714
activefx/url_parser,unshit,unshift,6f3dbb1662bbf360baef8ab21c601886de351aed,lib/url_parser.rb,196
adamdoupe/enemy-of-the-state,addUnvisisted,addUnvisited,133b430f22a4b398bc27489c748e73697f3be1b9,crawler2.py,2105
adamosoftware/Postulate.Lite,ExecuteAssync,ExecuteAsync,d4432061202872d0b39e3a31ea01648ea8173b43,Postulate.Lite.Core/Query.cs,39
adamrpc/cocjs,ComsumableLib,ConsumableLib,002c6b916ed6a0a0b2ecb9ac0403739b093b90ad,app/scripts/scenes/Areas/Mountain.js,2
addok/addok,MAX_MEANINGUL,MAX_MEANINGFUL,1d7bc2b3d6e3575cfa1724237d207d58bc4b4c88,addok/core.py,134
AdhityaRamadhanus/Ghost,checkDirectoryExistance,checkDirectoryExistence,a341bbde974b7c10ab91dfd9b39b739b98bfe894,gulpfile.js,365
adityasrini/strongbox,validatorsForReleaseRepositoryShouldBeAdditableAndFailSafeWithResponseInJson,validatorsForReleaseRepositoryShouldBeAddableAndFailSafeWithResponseInJson,dc94048be9c84554fad78799ca6bd57a013bb013,strongbox-web-core/src/test/java/org/carlspring/strongbox/controllers/configuration/ArtifactCoordinateValidatorsManagementControllerTest.java,228
adityasrini/strongbox,validatorsForReleaseRepositoryShouldBeAdditableAndFailSafeWithResponseInText,validatorsForReleaseRepositoryShouldBeAddableAndFailSafeWithResponseInText,dc94048be9c84554fad78799ca6bd57a013bb013,strongbox-web-core/src/test/java/org/carlspring/strongbox/controllers/configuration/ArtifactCoordinateValidatorsManagementControllerTest.java,234
adityasrini/strongbox,validatorsForReleaseRepositoryShouldBeAdditableAndFailSafe,validatorsForReleaseRepositoryShouldBeAddableAndFailSafe,dc94048be9c84554fad78799ca6bd57a013bb013,strongbox-web-core/src/test/java/org/carlspring/strongbox/controllers/configuration/ArtifactCoordinateValidatorsManagementControllerTest.java,270
adizhavo/midcore_template,GameGridObjecData,GameGridObjectData,473f1c2a027c6cbc80dab560450386a2dda0b577,Assets/Game/Scripts/Data/GameData.cs,57
adorsys/xs2a,keycloackInvokerService,keycloakInvokerService,e9c73c7f8259903717426de38f52ffa5071c7fee,xs2a-impl/src/main/java/de/adorsys/aspsp/xs2a/config/WebConfig.java,153
adorsys/xs2a,keycloackRestTemplate,keycloakRestTemplate,e9c73c7f8259903717426de38f52ffa5071c7fee,xs2a-impl/src/main/java/de/adorsys/aspsp/xs2a/service/keycloak/KeycloakInvokerService.java,58
adorsys/xs2a,keycloack,keycloak,e9c73c7f8259903717426de38f52ffa5071c7fee,xs2a-impl/src/main/java/de/adorsys/aspsp/xs2a/config/rest/keycloak/KeycloakRestErrorHandler.java,16
adorsys/xs2a,KeycloackRestErrorHandler,KeycloakRestErrorHandler,e9c73c7f8259903717426de38f52ffa5071c7fee,xs2a-impl/src/main/java/de/adorsys/aspsp/xs2a/config/rest/keycloak/KeycloakRestErrorHandler.java,25
Aendawyn/FunctionalFX,regitsration,registration,fc221e818ff278e9cf8c24de143d415cfa5382b4,core/src/main/java/io/functionalfx/registration/ListenerRegistration.java,22
